Year,Quarter,Month,Airport_Code,City,State,Departures_Performed,Arrivals_Performed,Total_Operations
2023,1,1,ROW,"Roswell, NM",New Mexico,92.0,92.0,184.0
2023,1,1,RST,"Rochester, MN",Minnesota,132.0,132.0,264.0
2023,1,1,RSW,"Fort Myers, FL",Florida,3183.0,3175.0,6358.0
2023,1,1,SAF,"Santa Fe, NM",New Mexico,120.0,120.0,240.0
2023,1,1,SAN,"San Diego, CA",California,6983.0,6984.0,13967.0
2023,1,1,SAT,"San Antonio, TX",Texas,2895.0,2893.0,5788.0
2023,1,1,SAV,"Savannah, GA",Georgia,1159.0,1157.0,2316.0
2023,1,1,SBA,"Santa Barbara, CA",California,552.0,552.0,1104.0
2023,1,1,SBN,"South Bend, IN",Indiana,429.0,430.0,859.0
2023,1,1,SBP,"San Luis Obispo, CA",California,381.0,382.0,763.0
2023,1,1,SCC,"Deadhorse, AK",Alaska,35.0,35.0,70.0
2023,1,1,SCE,"State College, PA",Pennsylvania,106.0,108.0,214.0
2023,1,1,SCK,"Stockton, CA",California,46.0,46.0,92.0
2023,1,1,SDF,"Louisville, KY",Kentucky,1597.0,1599.0,3196.0
2023,1,1,SEA,"Seattle, WA",Washington,11873.0,11875.0,23748.0
2023,1,1,SFB,"Sanford, FL",Florida,714.0,714.0,1428.0
2023,1,1,SFO,"San Francisco, CA",California,10276.0,10265.0,20541.0
2023,1,1,SGF,"Springfield, MO",Missouri,533.0,534.0,1067.0
2023,1,1,SGU,"St. George, UT",Utah,175.0,175.0,350.0
2023,1,1,SHR,"Sheridan, WY",Wyoming,53.0,53.0,106.0
2023,1,1,SHV,"Shreveport, LA",Louisiana,266.0,266.0,532.0
2023,1,1,SIT,"Sitka, AK",Alaska,92.0,92.0,184.0
2023,1,1,SJC,"San Jose, CA",California,4429.0,4421.0,8850.0
2023,1,1,SJT,"San Angelo, TX",Texas,90.0,90.0,180.0
2023,1,1,SJU,"San Juan, PR",Puerto Rico,2791.0,2784.0,5575.0
2023,1,1,SLC,"Salt Lake City, UT",Utah,8944.0,8940.0,17884.0
2023,1,1,SLN,"Salina, KS",Kansas,62.0,62.0,124.0
2023,1,1,SMF,"Sacramento, CA",California,4248.0,4246.0,8494.0
2023,1,1,SMX,"Santa Maria, CA",California,9.0,9.0,18.0
2023,1,1,SNA,"Santa Ana, CA",California,3736.0,3739.0,7475.0
2023,1,1,SPI,"Springfield, IL",Illinois,59.0,57.0,116.0
2023,1,1,SPN,"Saipan, TT",U.S. Pacific Trust Territories and Possessions,31.0,31.0,62.0
2023,1,1,SPS,"Wichita Falls, TX",Texas,61.0,61.0,122.0
2023,1,1,SRQ,"Sarasota/Bradenton, FL",Florida,1433.0,1433.0,2866.0
2023,1,1,STC,"St. Cloud, MN",Minnesota,17.0,17.0,34.0
2023,1,1,STL,"St. Louis, MO",Missouri,4668.0,4673.0,9341.0
2023,1,1,STS,"Santa Rosa, CA",California,226.0,226.0,452.0
2023,1,1,STT,"Charlotte Amalie, VI",U.S. Virgin Islands,493.0,493.0,986.0
2023,1,1,STX,"Christiansted, VI",U.S. Virgin Islands,88.0,88.0,176.0
2023,1,1,SUN,"Sun Valley/Hailey/Ketchum, ID",Idaho,168.0,167.0,335.0
2023,1,1,SUX,"Sioux City, IA",Iowa,61.0,61.0,122.0
2023,1,1,SWF,"Newburgh/Poughkeepsie, NY",New York,56.0,56.0,112.0
2023,1,1,SWO,"Stillwater, OK",Oklahoma,61.0,61.0,122.0
2023,1,1,SYR,"Syracuse, NY",New York,1062.0,1061.0,2123.0
2023,1,1,TLH,"Tallahassee, FL",Florida,425.0,427.0,852.0
2023,1,1,TOL,"Toledo, OH",Ohio,33.0,33.0,66.0
2023,1,1,TPA,"Tampa, FL",Florida,6479.0,6484.0,12963.0
2023,1,1,TRI,"Bristol/Johnson City/Kingsport, TN",Tennessee,254.0,256.0,510.0
